RESULTADO,JOGADA_1,JOGADA_2,JOGADA_3,JOGADA_4,JOGADA_5,JOGADA_6,JOGADA_7,JOGADA_8,JOGADA_9
Empate, 8, 4, 0, 5, 2, 1, 7, 6, 0
Empate, 4, 1, 0, 6, 3, 8, 7, 5, 2
Empate, 3, 6, 0, 1, 4, 5, 2, 8, 7
Empate, 5, 4, 0, 2, 8, 3, 0, 7, 1
Empate, 1, 3, 0, 2, 0, 4, 8, 7, 5
Empate, 0, 3, 0, 2, 1, 4, 7, 8, 5
Empate, 7, 1, 0, 3, 0, 2, 4, 8, 5
Empate, 3, 0, 0, 7, 2, 4, 1, 5, 8
Empate, 3, 1, 2, 4, 0, 6, 8, 5, 7
Empate, 0, 3, 0, 1, 5, 2, 7, 8, 4
Empate, 4, 0, 2, 7, 0, 6, 8, 5, 1
Empate, 5, 8, 3, 6, 0, 4, 2, 1, 7
Empate, 3, 2, 1, 0, 0, 7, 8, 4, 5
Empate, 0, 6, 0, 1, 2, 4, 5, 8, 7
Empate, 0, 4, 2, 6, 0, 8, 5, 1, 7
Empate, 0, 4, 2, 3, 0, 1, 5, 8, 7
Empate, 7, 8, 5, 1, 4, 3, 0, 6, 2
Empate, 0, 4, 0, 8, 2, 1, 7, 6, 5
Empate, 0, 6, 0, 1, 2, 8, 4, 5, 7
Empate, 0, 1, 0, 6, 2, 5, 8, 4, 7
Empate, 0, 1, 0, 6, 7, 5, 2, 4, 8
Empate, 0, 6, 0, 8, 5, 1, 2, 4, 7
Empate, 6, 2, 5, 3, 0, 7, 1, 4, 8
Empate, 3, 1, 4, 6, 0, 5, 2, 8, 7
Empate, 2, 4, 0, 6, 0, 8, 7, 1, 5
Empate, 0, 3, 1, 4, 7, 2, 6, 8, 5
Empate, 8, 5, 0, 6, 0, 4, 7, 1, 2
Empate, 0, 3, 0, 4, 8, 7, 1, 2, 5
Empate, 2, 0, 0, 5, 6, 4, 1, 7, 8
Empate, 0, 2, 8, 7, 1, 3, 0, 4, 5
Empate, 8, 4, 7, 1, 0, 6, 3, 5, 2
Empate, 0, 8, 7, 1, 0, 6, 5, 4, 2
Empate, 0, 1, 7, 3, 0, 8, 2, 4, 5
Empate, 0, 1, 3, 6, 4, 8, 2, 5, 7
Empate, 2, 1, 0, 8, 7, 5, 0, 6, 4
Empate, 6, 7, 1, 3, 0, 4, 8, 2, 5
Empate, 0, 8, 2, 6, 0, 5, 7, 1, 4
Empate, 0, 3, 0, 2, 4, 1, 5, 8, 7
Empate, 5, 3, 1, 4, 0, 2, 0, 8, 7
Empate, 0, 7, 6, 3, 8, 4, 5, 2, 1
Empate, 7, 5, 4, 6, 0, 1, 0, 8, 2
Empate, 2, 5, 8, 6, 0, 1, 3, 4, 7
Empate, 7, 3, 0, 4, 5, 8, 0, 1, 2
Empate, 2, 5, 0, 6, 0, 1, 8, 4, 7
Empate, 5, 4, 0, 3, 0, 2, 7, 8, 1
Empate, 4, 6, 0, 5, 7, 8, 3, 1, 2
Empate, 0, 3, 1, 7, 0, 4, 8, 2, 5
Empate, 0, 3, 0, 4, 5, 2, 1, 7, 8
Empate, 3, 5, 0, 8, 2, 6, 7, 1, 4
Empate, 0, 8, 5, 7, 1, 2, 4, 3, 6
Empate, 0, 3, 0, 4, 5, 7, 8, 2, 1
Empate, 1, 4, 5, 3, 0, 2, 0, 7, 8
Empate, 1, 8, 0, 2, 5, 3, 0, 7, 4
Empate, 0, 4, 5, 6, 2, 1, 0, 8, 7
Empate, 4, 6, 2, 5, 0, 8, 0, 1, 7
Empate, 4, 0, 6, 3, 5, 7, 8, 2, 1
Empate, 8, 2, 0, 3, 6, 4, 1, 7, 5
Empate, 0, 3, 6, 4, 7, 8, 2, 1, 5
Empate, 0, 4, 0, 5, 8, 6, 2, 1, 7
Empate, 0, 1, 3, 4, 5, 8, 2, 6, 7
Empate, 0, 4, 7, 1, 3, 6, 2, 8, 5
Empate, 0, 8, 1, 3, 4, 2, 5, 7, 6
Empate, 0, 7, 5, 3, 0, 2, 1, 4, 8
Empate, 7, 2, 0, 3, 0, 4, 1, 8, 5
Empate, 0, 1, 5, 8, 0, 6, 7, 4, 2
Empate, 6, 3, 0, 8, 7, 2, 4, 1, 5
Empate, 2, 0, 0, 6, 8, 5, 4, 1, 7
Empate, 0, 1, 7, 6, 0, 4, 2, 5, 8
Empate, 0, 1, 4, 6, 0, 5, 2, 8, 7
Empate, 5, 4, 6, 3, 1, 2, 0, 8, 7
Empate, 6, 7, 8, 0, 0, 2, 1, 4, 5
Empate, 0, 3, 0, 1, 7, 8, 2, 4, 5
Empate, 0, 3, 0, 8, 7, 4, 5, 1, 2
Empate, 6, 5, 8, 0, 1, 7, 0, 4, 2
Empate, 0, 5, 8, 1, 0, 6, 2, 4, 7
Empate, 0, 3, 5, 8, 0, 1, 7, 4, 2
Empate, 0, 3, 0, 2, 4, 7, 5, 8, 1
Empate, 5, 8, 2, 6, 0, 1, 4, 3, 7
Empate, 5, 3, 7, 1, 0, 6, 2, 8, 4
Empate, 7, 4, 5, 3, 0, 8, 0, 1, 2
Empate, 5, 1, 6, 8, 0, 3, 7, 2, 4
Empate, 1, 8, 0, 2, 6, 3, 7, 4, 5
Empate, 0, 4, 1, 3, 0, 2, 5, 8, 7
Empate, 0, 6, 0, 8, 2, 1, 4, 5, 7
Empate, 0, 8, 4, 3, 0, 7, 5, 2, 1
Empate, 4, 1, 6, 2, 0, 3, 7, 8, 5
Empate, 5, 0, 1, 3, 6, 7, 4, 2, 8
Empate, 0, 3, 0, 4, 1, 8, 7, 2, 5
Empate, 3, 8, 0, 6, 5, 4, 2, 1, 7
Empate, 0, 3, 0, 1, 5, 4, 2, 8, 7
Empate, 0, 8, 7, 5, 0, 6, 2, 1, 4
Empate, 0, 6, 0, 1, 8, 4, 7, 5, 2
Empate, 4, 2, 0, 3, 0, 8, 5, 7, 1
Empate, 0, 1, 0, 4, 5, 8, 7, 6, 2
Empate, 5, 3, 0, 8, 0, 2, 7, 4, 1
Empate, 0, 3, 7, 4, 0, 8, 5, 2, 1
Empate, 7, 1, 0, 3, 0, 2, 4, 8, 5
Empate, 0, 3, 7, 4, 1, 8, 5, 2, 0
Empate, 0, 1, 8, 4, 0, 6, 7, 5, 2
Empate, 7, 8, 6, 3, 0, 4, 2, 1, 5
Empate, 0, 4, 0, 6, 8, 5, 7, 1, 2
Empate, 4, 2, 1, 7, 0, 3, 5, 8, 0
Empate, 6, 3, 0, 2, 5, 7, 4, 8, 1
Empate, 4, 8, 5, 7, 0, 3, 6, 2, 1
Empate, 0, 5, 7, 4, 2, 6, 8, 1, 0
Empate, 0, 3, 0, 7, 5, 2, 1, 8, 4
Empate, 5, 3, 0, 1, 4, 8, 6, 2, 7
Empate, 1, 4, 0, 3, 0, 2, 7, 8, 5
Empate, 0, 1, 7, 3, 6, 8, 2, 4, 5
Empate, 0, 5, 0, 1, 4, 6, 7, 8, 2
Empate, 0, 4, 0, 1, 2, 6, 7, 5, 8
Empate, 8, 0, 3, 2, 0, 7, 1, 5, 4
Empate, 0, 3, 0, 1, 4, 8, 7, 2, 5
Empate, 2, 5, 8, 4, 6, 0, 0, 7, 1
Empate, 7, 5, 8, 1, 0, 4, 0, 6, 2
Empate, 7, 8, 0, 3, 5, 4, 2, 1, 0
Empate, 0, 1, 0, 6, 2, 5, 7, 4, 8
Empate, 4, 0, 8, 5, 0, 6, 1, 7, 2
Empate, 5, 1, 4, 3, 0, 6, 7, 8, 2
Empate, 0, 5, 0, 6, 2, 1, 7, 4, 8
Empate, 5, 8, 0, 3, 2, 4, 0, 1, 7
Empate, 6, 4, 5, 2, 8, 0, 0, 7, 1
Empate, 5, 7, 1, 2, 6, 3, 0, 8, 4
Empate, 0, 8, 7, 3, 0, 1, 5, 4, 2
Empate, 7, 5, 0, 1, 0, 6, 2, 8, 4
Empate, 0, 1, 4, 3, 0, 8, 5, 2, 7
Empate, 0, 6, 0, 5, 7, 4, 8, 1, 2
Empate, 0, 3, 0, 4, 5, 1, 7, 8, 2
Empate, 1, 2, 0, 3, 0, 4, 8, 7, 5
Empate, 0, 8, 6, 2, 7, 1, 4, 3, 5
Empate, 0, 1, 0, 4, 7, 8, 5, 6, 2
Empate, 7, 3, 0, 8, 5, 2, 1, 4, 0
Empate, 3, 6, 4, 1, 7, 5, 0, 8, 2
Empate, 0, 1, 4, 8, 7, 5, 0, 6, 2
Empate, 0, 3, 7, 1, 0, 4, 5, 8, 2
Empate, 6, 7, 1, 0, 0, 5, 4, 2, 8
Empate, 5, 8, 0, 3, 6, 4, 2, 1, 7
Empate, 8, 4, 0, 6, 3, 1, 2, 5, 7
Empate, 2, 1, 4, 8, 0, 6, 3, 5, 7
Empate, 0, 6, 0, 5, 7, 1, 4, 8, 2
Empate, 0, 6, 7, 5, 3, 4, 2, 1, 8
Empate, 0, 8, 2, 5, 0, 6, 7, 1, 4
Empate, 0, 3, 6, 4, 1, 2, 5, 8, 7
Empate, 7, 1, 0, 6, 0, 8, 2, 4, 5
Empate, 6, 3, 0, 8, 1, 2, 5, 7, 4
Empate, 7, 1, 3, 6, 0, 4, 8, 5, 2
Empate, 0, 6, 0, 4, 8, 5, 2, 1, 7
Empate, 0, 6, 0, 1, 2, 8, 5, 4, 7
Empate, 1, 0, 8, 7, 2, 6, 0, 5, 4
Empate, 0, 4, 0, 6, 2, 8, 7, 1, 5
Empate, 8, 0, 0, 6, 7, 4, 2, 5, 1
Empate, 0, 1, 6, 3, 7, 2, 5, 8, 4
Empate, 5, 1, 0, 6, 0, 4, 7, 8, 2
Empate, 6, 7, 3, 0, 2, 4, 1, 5, 8
Empate, 5, 4, 0, 3, 8, 2, 0, 7, 1
Empate, 2, 3, 4, 8, 0, 6, 7, 1, 5
Empate, 4, 7, 0, 3, 5, 2, 0, 8, 1
Empate, 7, 4, 2, 1, 0, 5, 0, 6, 8
Empate, 0, 6, 3, 5, 7, 8, 2, 1, 4
Empate, 0, 8, 4, 2, 5, 1, 7, 3, 0
Empate, 4, 7, 0, 3, 0, 8, 5, 2, 1
Empate, 0, 3, 7, 4, 0, 1, 5, 8, 2
Empate, 1, 0, 0, 5, 8, 6, 7, 4, 2
Empate, 0, 6, 0, 8, 2, 1, 5, 4, 7
Empate, 0, 5, 7, 8, 0, 1, 4, 6, 2
Empate, 0, 3, 0, 7, 5, 8, 4, 2, 1
Empate, 7, 1, 6, 8, 0, 3, 5, 2, 4
Empate, 0, 6, 7, 1, 0, 8, 5, 4, 2
Empate, 5, 7, 0, 3, 0, 2, 1, 4, 8
Empate, 5, 7, 0, 3, 0, 2, 1, 4, 8
Empate, 0, 3, 5, 6, 4, 8, 7, 1, 2
Empate, 0, 6, 0, 8, 4, 5, 7, 1, 2
Empate, 7, 8, 0, 6, 0, 1, 2, 5, 4
Empate, 0, 6, 0, 4, 5, 1, 2, 8, 7
Empate, 0, 6, 7, 5, 0, 1, 4, 8, 2
Empate, 3, 4, 5, 8, 7, 6, 0, 1, 2
Empate, 0, 1, 3, 6, 5, 4, 2, 8, 7
Empate, 0, 3, 0, 2, 8, 7, 5, 4, 1
Empate, 0, 3, 0, 4, 7, 8, 5, 1, 2
Empate, 0, 4, 1, 8, 6, 3, 7, 2, 5
Empate, 0, 4, 2, 8, 0, 6, 7, 1, 5
Empate, 0, 6, 0, 1, 7, 4, 2, 5, 8
Empate, 0, 1, 7, 8, 6, 4, 2, 3, 5
Empate, 5, 3, 0, 4, 0, 1, 2, 8, 7
Empate, 0, 2, 5, 4, 6, 3, 7, 8, 1
Empate, 8, 6, 0, 1, 0, 4, 7, 5, 2
Empate, 0, 3, 0, 4, 1, 2, 7, 8, 5
Empate, 5, 3, 6, 7, 0, 2, 1, 8, 4
Empate, 8, 6, 2, 5, 0, 1, 0, 4, 7
Empate, 3, 4, 8, 0, 7, 5, 2, 6, 1
Empate, 0, 3, 5, 1, 6, 2, 7, 8, 4
Empate, 7, 3, 0, 2, 0, 1, 5, 8, 4
Empate, 0, 3, 0, 2, 4, 8, 7, 1, 5
Empate, 5, 4, 0, 8, 0, 6, 7, 1, 2
Empate, 0, 3, 0, 4, 5, 8, 7, 1, 2
Empate, 0, 6, 0, 5, 2, 4, 8, 1, 7
Empate, 8, 3, 0, 7, 5, 4, 1, 2, 6
Empate, 0, 1, 2, 8, 7, 4, 5, 3, 0
Empate, 4, 3, 0, 2, 5, 8, 1, 7, 0
Empate, 0, 3, 0, 8, 4, 2, 5, 7, 1
Empate, 0, 8, 0, 6, 7, 5, 4, 1, 2
Empate, 0, 1, 8, 6, 0, 4, 7, 5, 2
Empate, 0, 1, 0, 4, 7, 6, 8, 5, 2
Empate, 7, 4, 0, 5, 0, 1, 2, 6, 8
Empate, 0, 8, 6, 3, 7, 4, 2, 1, 5
Empate, 0, 6, 0, 1, 7, 5, 4, 8, 2
Empate, 3, 4, 6, 0, 1, 7, 8, 5, 2
Empate, 0, 3, 0, 2, 5, 7, 1, 8, 4
Empate, 0, 6, 5, 4, 0, 8, 7, 1, 2
Empate, 0, 5, 0, 6, 2, 4, 8, 1, 7
Empate, 0, 3, 5, 4, 0, 1, 2, 8, 7
Empate, 0, 3, 0, 8, 4, 1, 7, 2, 5
Empate, 0, 8, 2, 6, 3, 1, 7, 5, 4
Empate, 4, 6, 0, 1, 0, 8, 7, 5, 2
Empate, 0, 6, 0, 8, 2, 5, 7, 1, 4
Empate, 0, 4, 7, 1, 2, 6, 0, 8, 5
Empate, 3, 0, 0, 4, 1, 7, 2, 5, 8
Empate, 0, 1, 0, 6, 4, 8, 7, 5, 2
Empate, 0, 1, 3, 6, 7, 8, 2, 4, 5
Empate, 0, 6, 8, 5, 0, 1, 2, 4, 7
Empate, 0, 3, 0, 4, 8, 7, 1, 2, 5
Empate, 2, 1, 0, 6, 0, 8, 5, 4, 7
Empate, 0, 6, 0, 4, 7, 5, 2, 1, 8
Empate, 0, 6, 7, 5, 0, 1, 8, 4, 2
Empate, 0, 8, 4, 1, 0, 6, 7, 5, 2
Empate, 0, 3, 8, 2, 0, 7, 1, 4, 5
Empate, 0, 7, 8, 3, 0, 2, 1, 4, 5
Empate, 8, 0, 0, 6, 2, 1, 4, 5, 7
Empate, 0, 4, 0, 6, 7, 5, 2, 1, 8
Empate, 0, 3, 6, 8, 5, 7, 1, 2, 4
Empate, 0, 8, 5, 3, 0, 1, 7, 2, 4
Empate, 8, 3, 6, 2, 0, 4, 5, 7, 1
Empate, 2, 4, 0, 3, 0, 8, 5, 1, 7
Empate, 7, 4, 3, 8, 5, 6, 0, 1, 2
Empate, 0, 1, 2, 5, 8, 6, 7, 4, 0
Empate, 5, 0, 6, 3, 8, 7, 1, 2, 4
Empate, 5, 7, 3, 0, 0, 4, 1, 2, 8
Empate, 0, 4, 0, 6, 7, 1, 2, 8, 5
Empate, 0, 3, 0, 1, 4, 2, 5, 8, 7
Empate, 0, 8, 2, 6, 0, 5, 4, 1, 7
Empate, 0, 3, 0, 4, 8, 2, 5, 7, 1
Empate, 4, 6, 0, 1, 5, 8, 2, 3, 7
Empate, 0, 4, 0, 6, 7, 5, 8, 1, 2
Empate, 4, 8, 0, 6, 0, 5, 2, 1, 7
Empate, 0, 3, 0, 2, 5, 7, 8, 4, 1
Empate, 0, 8, 3, 6, 7, 1, 4, 5, 2
Empate, 0, 8, 0, 6, 2, 1, 4, 5, 7
Empate, 0, 4, 0, 6, 7, 5, 8, 1, 2
Empate, 0, 3, 0, 4, 2, 1, 5, 8, 7
Empate, 0, 8, 0, 4, 2, 1, 7, 6, 5
Empate, 0, 1, 0, 6, 2, 4, 8, 5, 7
Empate, 2, 4, 0, 5, 0, 6, 8, 1, 7
Empate, 1, 7, 6, 3, 0, 4, 5, 2, 8
Empate, 0, 6, 0, 8, 2, 1, 5, 4, 7
Empate, 2, 5, 8, 4, 7, 1, 0, 6, 0
Empate, 4, 1, 2, 5, 7, 8, 0, 6, 0
Empate, 0, 5, 2, 8, 0, 1, 7, 6, 4
Empate, 4, 6, 2, 0, 0, 5, 7, 1, 8
Empate, 0, 4, 2, 6, 0, 1, 5, 8, 7
Empate, 8, 0, 0, 7, 4, 5, 2, 6, 1
Empate, 5, 3, 0, 1, 2, 8, 0, 4, 7
Empate, 0, 6, 0, 1, 7, 8, 4, 5, 2
Empate, 3, 1, 2, 4, 7, 5, 0, 6, 8
Empate, 0, 8, 4, 3, 1, 7, 0, 2, 5
Empate, 2, 5, 8, 6, 3, 0, 4, 1, 7
Empate, 5, 1, 0, 3, 0, 8, 2, 4, 7
Empate, 7, 4, 1, 3, 0, 8, 0, 2, 5
Empate, 0, 1, 0, 8, 4, 6, 7, 5, 2
Empate, 0, 3, 0, 2, 1, 4, 8, 7, 5
Empate, 5, 0, 6, 2, 1, 3, 8, 7, 4
Empate, 5, 3, 0, 8, 7, 2, 0, 1, 4
Empate, 0, 6, 2, 3, 4, 8, 7, 1, 5
Empate, 0, 6, 4, 3, 2, 8, 5, 1, 7
Empate, 1, 0, 8, 5, 0, 6, 2, 7, 4
Empate, 0, 6, 0, 1, 2, 8, 7, 4, 5
Empate, 0, 6, 0, 1, 7, 8, 5, 4, 2
Empate, 0, 8, 2, 1, 4, 5, 0, 6, 7
Empate, 0, 3, 0, 2, 5, 8, 1, 7, 4
Empate, 6, 4, 0, 1, 5, 3, 7, 8, 2
Empate, 0, 4, 3, 6, 2, 1, 7, 5, 8
Empate, 0, 1, 0, 6, 7, 4, 8, 5, 2
Empate, 7, 4, 0, 8, 6, 3, 2, 1, 5
Empate, 0, 1, 0, 6, 2, 8, 7, 4, 5
Empate, 2, 3, 0, 8, 5, 4, 0, 1, 7
Empate, 0, 5, 0, 1, 2, 8, 7, 6, 4
Empate, 8, 3, 0, 2, 0, 7, 1, 4, 5
Empate, 0, 8, 7, 1, 6, 4, 5, 3, 2
Empate, 2, 5, 4, 1, 0, 8, 0, 6, 7
Empate, 0, 2, 5, 3, 0, 7, 1, 8, 4
Empate, 4, 1, 0, 3, 0, 2, 7, 8, 5
Empate, 0, 5, 0, 6, 2, 8, 7, 1, 4
Empate, 1, 0, 6, 2, 3, 7, 4, 5, 8
Empate, 0, 5, 0, 6, 4, 1, 7, 8, 2
Empate, 0, 6, 0, 8, 7, 5, 2, 1, 4
Empate, 1, 0, 4, 2, 0, 5, 0, 7, 8
Empate, 0, 6, 0, 5, 2, 1, 8, 4, 7
Empate, 5, 3, 7, 6, 0, 1, 2, 8, 4
Empate, 0, 5, 0, 6, 2, 8, 7, 1, 4
Empate, 0, 1, 0, 6, 8, 4, 2, 5, 7
Empate, 2, 4, 0, 6, 0, 8, 7, 1, 5
Empate, 0, 3, 0, 8, 5, 4, 2, 1, 7
Empate, 2, 5, 3, 4, 8, 0, 0, 7, 1
Empate, 6, 1, 0, 3, 5, 2, 4, 8, 7
Empate, 0, 2, 1, 3, 0, 7, 5, 4, 8
Empate, 0, 6, 0, 5, 7, 8, 2, 1, 4
Empate, 0, 6, 0, 1, 4, 8, 7, 5, 2
Empate, 0, 4, 0, 8, 7, 6, 5, 1, 2
Empate, 0, 5, 2, 6, 0, 8, 7, 1, 4
Empate, 0, 4, 8, 6, 0, 1, 7, 5, 2
Empate, 0, 5, 0, 6, 2, 8, 4, 1, 7
Empate, 0, 3, 4, 6, 2, 1, 5, 8, 7
Empate, 0, 6, 0, 1, 7, 5, 8, 4, 2
Empate, 3, 5, 2, 0, 8, 6, 7, 1, 4
Empate, 7, 6, 0, 3, 4, 1, 2, 8, 5
Empate, 0, 3, 5, 7, 6, 2, 4, 8, 1
Empate, 7, 8, 2, 4, 0, 3, 5, 1, 0
Empate, 0, 3, 0, 2, 1, 8, 7, 4, 5
Empate, 0, 3, 1, 4, 0, 8, 5, 2, 7
Empate, 1, 7, 0, 4, 8, 2, 6, 3, 5
Empate, 0, 2, 1, 3, 0, 8, 4, 7, 5
Empate, 0, 3, 0, 2, 1, 7, 5, 8, 4
Empate, 6, 3, 7, 1, 0, 8, 5, 2, 4
Empate, 0, 4, 5, 8, 7, 1, 2, 6, 0
Empate, 8, 1, 0, 5, 0, 6, 7, 4, 2
Empate, 0, 3, 0, 4, 2, 1, 5, 8, 7
Empate, 7, 8, 2, 1, 0, 3, 0, 4, 5
Empate, 0, 1, 7, 3, 2, 8, 4, 6, 5
Empate, 0, 8, 7, 6, 4, 5, 0, 1, 2
Empate, 5, 3, 0, 2, 0, 4, 8, 7, 1
Empate, 0, 3, 8, 7, 0, 4, 5, 2, 1
Empate, 1, 2, 0, 3, 0, 8, 5, 7, 4
Empate, 0, 6, 2, 1, 0, 8, 7, 4, 5
Empate, 4, 1, 0, 3, 0, 2, 5, 8, 7
Empate, 2, 0, 0, 4, 0, 7, 8, 5, 1
Empate, 0, 3, 0, 2, 4, 7, 5, 8, 1
Empate, 0, 5, 0, 6, 7, 8, 4, 1, 2
Empate, 4, 7, 0, 3, 0, 2, 1, 8, 5
Empate, 4, 5, 1, 0, 8, 7, 0, 6, 2
Empate, 0, 8, 4, 1, 5, 3, 0, 2, 7
Empate, 0, 8, 7, 1, 3, 6, 4, 5, 2
Empate, 0, 3, 7, 1, 0, 8, 5, 2, 4
Empate, 0, 3, 0, 4, 2, 1, 7, 8, 5
Empate, 0, 2, 1, 7, 8, 4, 6, 3, 5
Empate, 0, 6, 7, 1, 0, 4, 2, 8, 5
Empate, 6, 2, 5, 3, 0, 8, 1, 4, 7
Empate, 3, 8, 4, 1, 2, 5, 0, 6, 7
Empate, 7, 4, 0, 3, 0, 8, 5, 1, 2
Empate, 7, 1, 0, 6, 0, 8, 5, 4, 2
Empate, 8, 0, 4, 1, 7, 5, 0, 6, 2
Empate, 0, 5, 7, 6, 0, 1, 2, 8, 4
Empate, 0, 5, 0, 6, 7, 1, 8, 4, 2
Empate, 0, 6, 2, 1, 7, 4, 0, 5, 8
Empate, 0, 6, 5, 4, 0, 1, 2, 8, 7
Empate, 0, 5, 0, 6, 4, 1, 7, 8, 2
Empate, 0, 2, 6, 4, 5, 7, 8, 3, 1
Empate, 0, 8, 0, 6, 4, 1, 2, 5, 7
Empate, 4, 0, 0, 2, 0, 7, 8, 5, 1
Empate, 0, 3, 0, 8, 1, 7, 4, 2, 5
Empate, 3, 0, 0, 2, 8, 5, 1, 7, 4
Empate, 0, 7, 1, 2, 8, 3, 0, 4, 5
Empate, 0, 6, 7, 1, 0, 4, 2, 8, 5
Empate, 0, 3, 4, 6, 5, 1, 7, 8, 2
Empate, 0, 3, 7, 1, 0, 2, 5, 8, 4
Empate, 0, 6, 0, 5, 2, 8, 7, 1, 4
Empate, 7, 3, 4, 1, 0, 8, 5, 2, 0
Empate, 6, 3, 0, 2, 7, 8, 4, 1, 5
Empate, 1, 8, 0, 3, 7, 2, 0, 4, 5
Empate, 0, 3, 2, 1, 7, 4, 0, 8, 5
Empate, 0, 5, 0, 6, 7, 1, 4, 8, 2
Empate, 0, 8, 3, 6, 2, 1, 5, 4, 7
Empate, 1, 3, 0, 8, 0, 7, 5, 2, 4
Empate, 2, 4, 7, 6, 0, 1, 0, 8, 5
Empate, 0, 8, 7, 4, 6, 3, 2, 1, 5
Empate, 6, 3, 1, 8, 7, 2, 5, 4, 0
Empate, 8, 0, 0, 7, 1, 5, 0, 2, 4
Empate, 0, 8, 4, 3, 0, 1, 5, 2, 7
Empate, 0, 3, 6, 7, 1, 2, 5, 8, 4
Empate, 0, 4, 2, 1, 0, 6, 7, 8, 5
Empate, 0, 3, 5, 8, 6, 1, 7, 2, 4
Empate, 0, 3, 7, 4, 0, 1, 5, 8, 2
Empate, 6, 0, 0, 7, 1, 5, 2, 4, 8
Empate, 0, 5, 3, 6, 4, 1, 2, 8, 7
Empate, 0, 3, 0, 2, 8, 4, 1, 7, 5
Empate, 0, 3, 0, 2, 1, 7, 8, 4, 5
Empate, 0, 7, 5, 3, 6, 4, 1, 2, 8
Empate, 0, 3, 7, 2, 0, 4, 1, 8, 5
Empate, 5, 3, 0, 8, 0, 2, 4, 7, 1
Empate, 2, 8, 0, 5, 4, 1, 0, 6, 7
Empate, 0, 3, 0, 8, 5, 1, 2, 4, 7
Empate, 8, 0, 0, 4, 0, 5, 1, 7, 2
Empate, 6, 2, 3, 7, 4, 5, 8, 0, 1
Empate, 5, 8, 1, 2, 0, 3, 4, 7, 6
Empate, 0, 8, 4, 6, 0, 5, 7, 1, 2
Empate, 1, 0, 0, 7, 5, 2, 0, 4, 8
Empate, 6, 3, 0, 1, 7, 8, 5, 4, 2
Empate, 8, 0, 0, 5, 0, 2, 4, 7, 1
Empate, 0, 6, 0, 5, 2, 4, 7, 1, 8
Empate, 0, 6, 0, 1, 7, 4, 5, 8, 2
Empate, 7, 4, 0, 6, 5, 8, 0, 1, 2
Empate, 0, 3, 0, 7, 5, 2, 1, 8, 4
Empate, 0, 2, 4, 3, 0, 8, 7, 1, 5
Empate, 4, 3, 6, 1, 0, 2, 7, 8, 5
Empate, 7, 3, 5, 2, 0, 1, 0, 8, 4
Empate, 0, 3, 0, 2, 1, 7, 8, 4, 5
Empate, 0, 1, 0, 6, 7, 4, 8, 5, 2
Empate, 0, 1, 3, 6, 5, 8, 7, 4, 2
Empate, 7, 1, 6, 3, 0, 2, 5, 8, 4
Empate, 0, 3, 0, 2, 7, 4, 5, 8, 1
Empate, 0, 3, 4, 2, 0, 1, 5, 8, 7
Empate, 0, 3, 0, 8, 4, 2, 5, 1, 7
Empate, 0, 3, 0, 8, 5, 4, 1, 2, 7
Empate, 0, 3, 0, 8, 4, 1, 7, 2, 5
Empate, 8, 4, 0, 3, 0, 2, 1, 7, 5
Empate, 0, 5, 8, 1, 0, 6, 7, 4, 2
Empate, 1, 5, 7, 4, 8, 0, 0, 6, 2
Empate, 0, 6, 7, 1, 0, 5, 8, 4, 2
Empate, 8, 1, 0, 6, 0, 5, 7, 4, 2
Empate, 0, 6, 0, 1, 2, 4, 7, 8, 5
Empate, 5, 2, 0, 1, 4, 3, 0, 8, 7
Empate, 0, 6, 0, 1, 2, 8, 7, 4, 5
Empate, 0, 3, 5, 2, 0, 8, 7, 1, 4
Empate, 0, 4, 0, 6, 8, 1, 7, 5, 2
Empate, 0, 1, 5, 6, 0, 8, 2, 4, 7
Empate, 0, 8, 5, 1, 0, 4, 2, 6, 7
Empate, 0, 6, 5, 1, 0, 4, 2, 8, 7
Empate, 7, 6, 8, 0, 2, 4, 0, 5, 1
Empate, 0, 4, 0, 6, 5, 8, 2, 1, 7
Empate, 5, 2, 0, 4, 8, 3, 0, 7, 1
Empate, 0, 1, 0, 6, 7, 4, 2, 5, 8
Empate, 0, 3, 0, 4, 1, 2, 8, 7, 5
Empate, 0, 4, 5, 3, 0, 2, 8, 7, 1
Empate, 3, 6, 0, 4, 8, 5, 7, 1, 2
Empate, 0, 3, 0, 7, 4, 2, 1, 8, 5
Empate, 2, 1, 0, 4, 0, 8, 5, 6, 7
Empate, 0, 5, 4, 8, 3, 6, 2, 1, 7
Empate, 0, 3, 5, 7, 0, 8, 4, 2, 1
Empate, 0, 6, 0, 1, 4, 5, 7, 8, 2
Empate, 4, 1, 6, 3, 0, 8, 5, 2, 7
Empate, 0, 3, 0, 4, 7, 8, 1, 2, 5
Empate, 0, 6, 0, 5, 7, 1, 4, 8, 2
Empate, 1, 6, 7, 0, 0, 5, 8, 4, 2
Empate, 0, 8, 0, 6, 2, 4, 7, 1, 5
Empate, 7, 6, 5, 1, 0, 8, 3, 4, 2
Empate, 0, 6, 2, 1, 8, 5, 0, 4, 7
Empate, 3, 1, 4, 6, 0, 8, 7, 5, 2
Empate, 0, 1, 2, 4, 6, 3, 5, 8, 7
Empate, 3, 5, 7, 1, 8, 0, 2, 6, 4
Empate, 0, 3, 1, 7, 0, 8, 4, 2, 5
Empate, 0, 3, 0, 4, 2, 8, 5, 1, 7
